item_id,old_offer_id,new_offer_id
55897924206857,20202-25.00 GBP,mgs-55897924206857
55897924436233,20201-15.00 GBP,mgs-55897924436233
57040552067337,20103-32.00 GBP,mgs-57040552067337
57040552100105,20101-15.00 GBP,mgs-57040552100105
55897929449737,20105-15.00 GBP,mgs-55897929449737
55897927352585,20013-21.50 GBP,mgs-55897927352585
55897925943561,20020-19.00 GBP,mgs-55897925943561
55897927844105,204080-41.00 GBP,mgs-55897927844105
55897931022601,140012-14.00 GBP,mgs-55897931022601
55897931055369,140032-41.00 GBP,mgs-55897931055369
57070736081161,DEPRO100-5.95 GBP,mgs-57070736081161
56821027733769,DIOR-SAUVAGE-EDP-100-122.00 GBP,mgs-56821027733769
48236303876361,141 588-114.95 GBP,mgs-48236303876361
48236304138505,1176810-161.95 GBP,mgs-48236304138505
48236303974665,120 5860-128.95 GBP,mgs-48236303974665
48236303843593,106 5851-150.00 GBP,mgs-48236303843593
48236304040201,105 5865-184.95 GBP,mgs-48236304040201
48236304007433,105 5835-157.95 GBP,mgs-48236304007433
48236304171273,1885 680-150.95 GBP,mgs-48236304171273
48236304204041,6 6810-150.00 GBP,mgs-48236304204041
48236304072969,119 6860-160.00 GBP,mgs-48236304072969
48236304269577,118 6810-205.00 GBP,mgs-48236304269577
48236304302345,201087 / 22130201-33.95 GBP,mgs-48236304302345
48236304367881,12581085-142.95 GBP,mgs-48236304367881
48236304433417,386050 / 43110361-7.95 GBP,mgs-48236304433417
48236304531721,10682082-162.85 GBP,mgs-48236304531721
48236304564489,201081 / 22130481-27.50 GBP,mgs-48236304564489
48236304859401,201 003 / 31450411-2.95 GBP,mgs-48236304859401
48236304892169,201 004-2.95 GBP,mgs-48236304892169
48236304924937,201 005-2.95 GBP,mgs-48236304924937
48236304695561,2010140-30.95 GBP,mgs-48236304695561
48585541714185,1658009143-262.90 GBP,mgs-48585541714185
48585541845257,1658009142-262.90 GBP,mgs-48585541845257
48585541812489,1658009145-262.90 GBP,mgs-48585541812489
48585541976329,136813415-280.95 GBP,mgs-48585541976329
48236304990473,4155846-119.95 GBP,mgs-48236304990473
48585542041865,15381387-130.00 GBP,mgs-48585542041865
48236304728329,41251203-39.85 GBP,mgs-48236304728329
48236305088777,9022011 / 6100181-17.45 GBP,mgs-48236305088777
48236305121545,9022 021-21.95 GBP,mgs-48236305121545
48236305154313,9022 051-21.95 GBP,mgs-48236305154313
48236304826633,201 071 / 22142022-39.95 GBP,mgs-48236304826633
48236305383689,201006 / 21130201-45.00 GBP,mgs-48236305383689
48585542435081,6340512-85.95 GBP,mgs-48585542435081
56160657965321,51156104-16.05 GBP,mgs-56160657965321
48744999059721,30451201-5.85 GBP,mgs-48744999059721
48744999026953,30451202-46.85 GBP,mgs-48744999026953
48181786607881,DER-A-32.00 GBP,mgs-48181786607881
48181786444041,AS-D2-142.95 GBP,mgs-48181786444041
48181786476809,AS-D2S-180.00 GBP,mgs-48181786476809
57034126000393,ACSR-NB-110.00 GBP,mgs-57034126000393
57034126033161,ACSR-RBL-110.00 GBP,mgs-57034126033161
57034126065929,ACSR-NBL-110.00 GBP,mgs-57034126065929
48181786345737,ACD-R-180.00 GBP,mgs-48181786345737
48181786280201,ACD-N-180.00 GBP,mgs-48181786280201
49061915984137,ACD-RW-240.00 GBP,mgs-49061915984137
48181786116361,PG-15-20.00 GBP,mgs-48181786116361
48181786083593,PL-20-18.65 GBP,mgs-48181786083593
48181786149129,PS-20-18.65 GBP,mgs-48181786149129
48181786247433,PB-20-16.00 GBP,mgs-48181786247433
49061766660361,PSF-15-20.00 GBP,mgs-49061766660361
48181786312969,ACS-RB-110.00 GBP,mgs-48181786312969
48181786411273,ACS-NB-89.95 GBP,mgs-48181786411273
48181786542345,ACS-RSW-104.00 GBP,mgs-48181786542345
49061674516745,FBDT-3.00 GBP,mgs-49061674516745
49025525907721,90660-10-3.15 GBP,mgs-49025525907721
57033945710857,90660-42.65 GBP,mgs-57033945710857
49062061965577,NR-K-45.00 GBP,mgs-49062061965577
49070031995145,NP-B-11.45 GBP,mgs-49070031995145
48181786509577,800-1B-14.35 GBP,mgs-48181786509577
48181786575113,WS-D2S-265.00 GBP,mgs-48181786575113
56111008284937,AR00010-14.95 GBP,mgs-56111008284937
56111008252169,AR00021-2.50 GBP,mgs-56111008252169
56111008383241,AR00030-30.00 GBP,mgs-56111008383241
56111008317705,AR00010B-15.00 GBP,mgs-56111008317705
56111008350473,AR00039-8.00 GBP,mgs-56111008350473
56111008219401,AR00089-14.95 GBP,mgs-56111008219401
55789124616457,F09238-32.00 GBP,mgs-55789124616457
55789124518153,F09741-32.00 GBP,mgs-55789124518153
55789124649225,F09212-35.00 GBP,mgs-55789124649225
55789124321545,F09823-30.00 GBP,mgs-55789124321545
55789124419849,F09235-30.00 GBP,mgs-55789124419849
55789124452617,F09236-32.00 GBP,mgs-55789124452617
55789124354313,F09237-35.00 GBP,mgs-55789124354313
55789124485385,F09234-20.00 GBP,mgs-55789124485385
55789125239049,F09210-32.00 GBP,mgs-55789125239049
55789124288777,F59235-30.00 GBP,mgs-55789124288777
55789124190473,F59237-35.00 GBP,mgs-55789124190473
